Question,Answer
Restart VPN Gateway,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart VPN Gateway. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart vpn-gateway)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart VPN Gateway' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Arjun Verma"", ""Email"": ""arjun.verma@example.com"", ""Phone"": ""+91-9000000053""}, ""Escalation"": {""Name"": ""Rahul Johnson"", ""Email"": ""rahul.johnson@example.com"", ""Phone"": ""+91-9100000053""}}}"
Restart Load Balancer,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Load Balancer. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart haproxy)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Load Balancer' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vikram Miller"", ""Email"": ""vikram.miller@example.com"", ""Phone"": ""+91-9000000054""}, ""Escalation"": {""Name"": ""Sanjana Singh"", ""Email"": ""sanjana.singh@example.com"", ""Phone"": ""+91-9100000054""}}}"
Update Load Balancer Configuration,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update Load Balancer Configuration. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., haproxy -f /etc/haproxy/haproxy.cfg -c && systemctl reload haproxy)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update Load Balancer Configuration' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Abhay Desai"", ""Email"": ""abhay.desai@example.com"", ""Phone"": ""+91-9000000055""}, ""Escalation"": {""Name"": ""Kabir Verma"", ""Email"": ""kabir.verma@example.com"", ""Phone"": ""+91-9100000055""}}}"
Perform Load Balancer Failover,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Perform Load Balancer Failover. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., lbctl failover --to standby)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Perform Load Balancer Failover' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sneha Fernandes"", ""Email"": ""sneha.fernandes@example.com"", ""Phone"": ""+91-9000000056""}, ""Escalation"": {""Name"": ""Priya Gupta"", ""Email"": ""priya.gupta@example.com"", ""Phone"": ""+91-9100000056""}}}"
Rotate Log Files,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Rotate Log Files. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., logrotate -f /etc/logrotate.d/app)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Rotate Log Files' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Abhay Iyer"", ""Email"": ""abhay.iyer@example.com"", ""Phone"": ""+91-9000000057""}, ""Escalation"": {""Name"": ""Liam Miller"", ""Email"": ""liam.miller@example.com"", ""Phone"": ""+91-9100000057""}}}"
Archive Logs,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Archive Logs. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., tar -czf logs-archive.tgz /var/log/app)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Archive Logs' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Kabir Patel"", ""Email"": ""kabir.patel@example.com"", ""Phone"": ""+91-9000000058""}, ""Escalation"": {""Name"": ""Nisha Kumar"", ""Email"": ""nisha.kumar@example.com"", ""Phone"": ""+91-9100000058""}}}"
Purge Temporary Files,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Purge Temporary Files. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., find /tmp/app -type f -mtime +7 -delete)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Purge Temporary Files' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Abhay Miller"", ""Email"": ""abhay.miller@example.com"", ""Phone"": ""+91-9000000059""}, ""Escalation"": {""Name"": ""Liam D'Souza"", ""Email"": ""liam.dsouza@example.com"", ""Phone"": ""+91-9100000059""}}}"
Restart Monitoring Agent,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Monitoring Agent. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart telegraf)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Monitoring Agent' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vihaan Kumar"", ""Email"": ""vihaan.kumar@example.com"", ""Phone"": ""+91-9000000060""}, ""Escalation"": {""Name"": ""Neha Kumar"", ""Email"": ""neha.kumar@example.com"", ""Phone"": ""+91-9100000060""}}}"
Update Monitoring Agent,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Update Monitoring Agent. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo apt-get install --only-upgrade telegraf)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Update Monitoring Agent' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Michael Kapoor"", ""Email"": ""michael.kapoor@example.com"", ""Phone"": ""+91-9000000061""}, ""Escalation"": {""Name"": ""Priya D'Souza"", ""Email"": ""priya.dsouza@example.com"", ""Phone"": ""+91-9100000061""}}}"
Restart Alerting Service,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Alerting Service. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart alertmanager)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Alerting Service' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Dev Kumar"", ""Email"": ""dev.kumar@example.com"", ""Phone"": ""+91-9000000062""}, ""Escalation"": {""Name"": ""Arjun Desai"", ""Email"": ""arjun.desai@example.com"", ""Phone"": ""+91-9100000062""}}}"
Silence Alerts,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Silence Alerts. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., amtool silence add --duration=2h --match alertname=HighCPU)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Silence Alerts' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Meera Miller"", ""Email"": ""meera.miller@example.com"", ""Phone"": ""+91-9000000063""}, ""Escalation"": {""Name"": ""Liam Brown"", ""Email"": ""liam.brown@example.com"", ""Phone"": ""+91-9100000063""}}}"
Unsilence Alerts,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Unsilence Alerts. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., amtool silence expire --match alertname=HighCPU)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Unsilence Alerts' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Rakesh Johnson"", ""Email"": ""rakesh.johnson@example.com"", ""Phone"": ""+91-9000000064""}, ""Escalation"": {""Name"": ""Sophia Johnson"", ""Email"": ""sophia.johnson@example.com"", ""Phone"": ""+91-9100000064""}}}"
Reindex Search Cluster,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Reindex Search Cluster. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., curl -XPOST http://es/_reindex ...)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Reindex Search Cluster' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Aarav Martinez"", ""Email"": ""aarav.martinez@example.com"", ""Phone"": ""+91-9000000065""}, ""Escalation"": {""Name"": ""Neha Gupta"", ""Email"": ""neha.gupta@example.com"", ""Phone"": ""+91-9100000065""}}}"
Restart Elasticsearch,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Elasticsearch. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart elasticsearch)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Elasticsearch' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Emma Miller"", ""Email"": ""emma.miller@example.com"", ""Phone"": ""+91-9000000066""}, ""Escalation"": {""Name"": ""Vihaan Miller"", ""Email"": ""vihaan.miller@example.com"", ""Phone"": ""+91-9100000066""}}}"
Restart Kibana,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Kibana. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart kibana)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Kibana' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Rahul Iyer"", ""Email"": ""rahul.iyer@example.com"", ""Phone"": ""+91-9000000067""}, ""Escalation"": {""Name"": ""Rohan D'Souza"", ""Email"": ""rohan.dsouza@example.com"", ""Phone"": ""+91-9100000067""}}}"
Restart Logstash,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Logstash. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart logstash)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Logstash' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Priya Fernandes"", ""Email"": ""priya.fernandes@example.com"", ""Phone"": ""+91-9000000068""}, ""Escalation"": {""Name"": ""Vikram Patel"", ""Email"": ""vikram.patel@example.com"", ""Phone"": ""+91-9100000068""}}}"
Optimize Database Tables,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Optimize Database Tables. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., mysqlcheck -o --all-databases)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Optimize Database Tables' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sanjana Nair"", ""Email"": ""sanjana.nair@example.com"", ""Phone"": ""+91-9000000069""}, ""Escalation"": {""Name"": ""Arjun Fernandes"", ""Email"": ""arjun.fernandes@example.com"", ""Phone"": ""+91-9100000069""}}}"
Vacuum PostgreSQL,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Vacuum PostgreSQL. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., psql -c 'VACUUM FULL;')."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Vacuum PostgreSQL' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Amit Brown"", ""Email"": ""amit.brown@example.com"", ""Phone"": ""+91-9000000070""}, ""Escalation"": {""Name"": ""Priya Iyer"", ""Email"": ""priya.iyer@example.com"", ""Phone"": ""+91-9100000070""}}}"
Repair MySQL Replication,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Repair MySQL Replication. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., mysql -e 'STOP SLAVE; START SLAVE;')."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Repair MySQL Replication' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Arjun Iyer"", ""Email"": ""arjun.iyer@example.com"", ""Phone"": ""+91-9000000071""}, ""Escalation"": {""Name"": ""Nisha D'Souza"", ""Email"": ""nisha.dsouza@example.com"", ""Phone"": ""+91-9100000071""}}}"
Restart MySQL,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart MySQL. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart mysql)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart MySQL' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Meera Johnson"", ""Email"": ""meera.johnson@example.com"", ""Phone"": ""+91-9000000072""}, ""Escalation"": {""Name"": ""Rahul Fernandes"", ""Email"": ""rahul.fernandes@example.com"", ""Phone"": ""+91-9100000072""}}}"
Restart PostgreSQL,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart PostgreSQL. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart postgresql)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart PostgreSQL' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Dev Iyer"", ""Email"": ""dev.iyer@example.com"", ""Phone"": ""+91-9000000073""}, ""Escalation"": {""Name"": ""Sophia Das"", ""Email"": ""sophia.das@example.com"", ""Phone"": ""+91-9100000073""}}}"
Restart MongoDB,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart MongoDB. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart mongod)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart MongoDB' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Vikram Nair"", ""Email"": ""vikram.nair@example.com"", ""Phone"": ""+91-9000000074""}, ""Escalation"": {""Name"": ""Meera Reddy"", ""Email"": ""meera.reddy@example.com"", ""Phone"": ""+91-9100000074""}}}"
Repair MongoDB Replica Set,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Repair MongoDB Replica Set. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., mongo --eval 'rs.reconfig(...)')."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Repair MongoDB Replica Set' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Liam Nair"", ""Email"": ""liam.nair@example.com"", ""Phone"": ""+91-9000000075""}, ""Escalation"": {""Name"": ""Amit Mehta"", ""Email"": ""amit.mehta@example.com"", ""Phone"": ""+91-9100000075""}}}"
Restart Cassandra,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Restart Cassandra. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., sudo systemctl restart cassandra)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Restart Cassandra' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Sara Kumar"", ""Email"": ""sara.kumar@example.com"", ""Phone"": ""+91-9000000076""}, ""Escalation"": {""Name"": ""Michael Bose"", ""Email"": ""michael.bose@example.com"", ""Phone"": ""+91-9100000076""}}}"
Repair Cassandra Ring,"{""Purpose"": ""This runbook provides detailed steps to perform the task: Repair Cassandra Ring. It ensures operational consistency and minimizes downtime."", ""Prerequisites"": [""Administrative access to systems"", ""Network connectivity"", ""Required tools (SSH, CLI, monitoring dashboards)"", ""Dependencies verified""], ""Steps"": [""Verify current system status using monitoring tools or CLI commands."", ""Notify stakeholders about the planned activity and expected impact."", ""Execute task-specific commands (e.g., nodetool repair)."", ""Validate outcome by checking service status, logs, and application accessibility."", ""Update incident/change tracker with details of the operation.""], ""ExpectedOutcome"": ""The task 'Repair Cassandra Ring' completes successfully without errors. Services remain stable and accessible."", ""RollbackPlan"": [""If the task fails:"", ""Revert to previous configuration snapshot or backup."", ""Restart dependent services if necessary."", ""Escalate to Level 2 support for troubleshooting.""], ""Contacts"": {""Primary"": {""Name"": ""Emma Das"", ""Email"": ""emma.das@example.com"", ""Phone"": ""+91-9000000077""}, ""Escalation"": {""Name"": ""Anil Fernandes"", ""Email"": ""anil.fernandes@example.com"", ""Phone"": ""+91-9100000077""}}}"
